id,codigo_interno,descripcion,canal,precio_antes,precio_despues
1265,PLGS06,COLLAGEN PRETTY VITALS 10 GR CJA X 33 SACHETS,Horizontal,74.0000,85.0000
1263,PLGS06,COLLAGEN PRETTY VITALS 10 GR CJA X 33 SACHETS,Mayorista,74.0000,85.0000
1262,PLGS06,COLLAGEN PRETTY VITALS 10 GR CJA X 33 SACHETS,Minicadenas,74.0000,85.0000
1261,PLGS06,COLLAGEN PRETTY VITALS 10 GR CJA X 33 SACHETS,Subdistribuidores,74.0000,85.0000
1264,PLGS06,COLLAGEN PRETTY VITALS 10 GR CJA X 33 SACHETS,Tops,74.0000,85.0000
1280,PLGS09,NUTRIVIDA ADVANCE LATA X 1KG (SABOR VAINILLA),Horizontal,85.0000,74.0000
1278,PLGS09,NUTRIVIDA ADVANCE LATA X 1KG (SABOR VAINILLA),Mayorista,85.0000,74.0000
1277,PLGS09,NUTRIVIDA ADVANCE LATA X 1KG (SABOR VAINILLA),Minicadenas,85.0000,74.0000
1276,PLGS09,NUTRIVIDA ADVANCE LATA X 1KG (SABOR VAINILLA),Subdistribuidores,85.0000,74.0000
1279,PLGS09,NUTRIVIDA ADVANCE LATA X 1KG (SABOR VAINILLA),Tops,85.0000,74.0000
